athlete_id,name,tvName,dob,gender,role,country_id,disciplineList,eventList
1535186,MARTINEZ RAMIREZ Miguel Angel,Miguel Angel MARTINEZ RAMIREZ,2001-03-17,Male,Athlete,MEX,['BOX'],['BOXM63KG']
1535187,VERDE ALVAREZ Marco Alonso,Marco Alonso VERDE ALVAREZ,2002-02-11,Male,Athlete,MEX,['BOX'],['BOXM71KG']
1535191,GONZALEZ Alegna,Alegna GONZALEZ,1999-01-02,Female,Athlete,MEX,['ATH'],"['ATHW20KMWALK', 'ATHX42KWALKT']"
1535195,LOPEZ Jesus Tonatiu,Jesus Tonatiu LOPEZ,1997-08-02,Male,Athlete,MEX,['ATH'],['ATHM800M']
1535199,PORTILLO Erick,Erick PORTILLO,2000-10-05,Male,Athlete,MEX,['ATH'],['ATHMHIGHJUMP']
1535201,MUNOZ Uziel,Uziel MUNOZ,1995-09-08,Male,Athlete,MEX,['ATH'],['ATHMSHOTPUT']
1535202,del REAL Diego,Diego del REAL,1994-03-06,Male,Athlete,MEX,['ATH'],['ATHMHAMMER']
1535203,DOCTOR Jose Luis,Jose Luis DOCTOR,1996-06-14,Male,Athlete,MEX,['ATH'],['ATHM20KMWALK']
1535212,MORAN Paola,Paola MORAN,1997-02-25,Female,Athlete,MEX,['ATH'],['ATHW400M']
1535214,GALVAN Laura,Laura GALVAN,1991-10-05,Female,Athlete,MEX,['ATH'],['ATHW5000M']
1535216,CORTES Alma Delia,Alma Delia CORTES,1997-12-26,Female,Athlete,MEX,['ATH'],['ATHW5000M']
1535217,CRISTIAN MOSCOTE Citlali,Citlali CRISTIAN MOSCOTE,1995-04-15,Female,Athlete,MEX,['ATH'],['ATHWMARATHON']
1535222,PALMA OLIVARES Ever Jair,Ever Jair PALMA OLIVARES,1992-03-18,Male,Athlete,MEX,['ATH'],['ATHX42KWALKT']
1535225,OETLING RAMIREZ Elena,Elena OETLING RAMIREZ,1993-04-18,Female,Athlete,MEX,['SAL'],['SALWILCA6']
1535226,AGUILAR CHAVEZ PEON Mariana,Mariana AGUILAR CHAVEZ PEON,1999-03-12,Female,Athlete,MEX,['SAL'],['SALWIQFOIL']
1535252,LECHUGA ALANIS Kenia,Kenia LECHUGA ALANIS,1994-06-26,Female,Athlete,MEX,['ROW'],['ROWWSCULL1']
1535260,LOPEZ GARCIA Alexis,Alexis LOPEZ GARCIA,1997-05-01,Male,Athlete,MEX,['ROW'],['ROWMSCULL2-L']
1535267,CARBALLO NIETO Miguel,Miguel CARBALLO NIETO,1992-07-08,Male,Athlete,MEX,['ROW'],['ROWMSCULL2-L']
1535310,BLANCO Luisa,Luisa BLANCO,2001-11-18,Female,Athlete,COL,['GAR'],"['GARW', 'GARW1AA', 'GARW1APBB', 'GARW1APFX', 'GARW1APUB', 'GARW1APVT']"
1535343,WILLARS VALDEZ Randal,Randal WILLARS VALDEZ,2002-04-30,Male,Athlete,MEX,['DIV'],"['DIVM10M', 'DIVM10MTEAM2']"
1535345,BERLIN REYES Kevin,Kevin BERLIN REYES,2001-04-25,Male,Athlete,MEX,['DIV'],"['DIVM10M', 'DIVM10MTEAM2']"
1535346,OROZCO LOZA Alejandra,Alejandra OROZCO LOZA,1997-04-19,Female,Athlete,MEX,['DIV'],"['DIVW10M', 'DIVW10MTEAM2']"
1535348,AGUNDEZ GARCIA Gabriela,Gabriela AGUNDEZ GARCIA,2000-08-04,Female,Athlete,MEX,['DIV'],"['DIVW10M', 'DIVW10MTEAM2']"
1535349,OLVERA IBARRA Osmar,Osmar OLVERA IBARRA,2004-06-05,Male,Athlete,MEX,['DIV'],"['DIVM3M', 'DIVM3MTEAM2']"
1535350,GARZA PEREZ Eugenio,Eugenio GARZA PEREZ,1996-07-23,Male,Athlete,MEX,['EQU'],"['EQUOJUMPINDV', 'EQUOJUMPTEAM']"
1535351,FERNANDEZ Federico,Federico FERNANDEZ,1968-03-28,Male,Athlete,MEX,['EQU'],"['EQUOJUMPINDV', 'EQUOJUMPTEAM']"
1535354,de LARA OJEDA Miguel Alejandro,Miguel Alejandro de LARA OJEDA,1994-08-09,Male,Athlete,MEX,['SWM'],"['SWMM100MBR', 'SWMM200MBR']"
1535356,MORENO Alexa,Alexa MORENO,1994-08-08,Female,Athlete,MEX,['GAR'],"['GARW', 'GARW1AA', 'GARW1APBB', 'GARW1APFX', 'GARW1APUB', 'GARW1APVT']"
1535357,SANDOVAL Ahtziri,Ahtziri SANDOVAL,1996-10-05,Female,Athlete,MEX,['GAR'],"['GARW', 'GARW1AA', 'GARW1APBB', 'GARW1APFX', 'GARW1APUB', 'GARW1APVT']"
1535358,FLORES Sofia,Sofia FLORES,2004-12-20,Female,Athlete,MEX,['GRY'],['GRYW5AA']
1535359,SALAZAR Kimberly,Kimberly SALAZAR,2004-04-24,Female,Athlete,MEX,['GRY'],['GRYW5AA']
1535360,TEJEDA Adirem,Adirem TEJEDA,2002-06-21,Female,Athlete,MEX,['GRY'],['GRYW5AA']
1535361,ALCOCER Dalia,Dalia ALCOCER,2004-01-02,Female,Athlete,MEX,['GRY'],['GRYW5AA']
1535362,GUTIERREZ Julia,Julia GUTIERREZ,2007-09-13,Female,Athlete,MEX,['GRY'],['GRYW5AA']
1535363,HERNANDEZ Emiliano,Emiliano HERNANDEZ,1998-01-27,Male,Athlete,MEX,['MPN'],['MPNMINDIVID']
1535364,CARRILLO Duilio,Duilio CARRILLO,1997-03-24,Male,Athlete,MEX,['MPN'],['MPNMINDIVID']
1535365,OLIVER Mayan,Mayan OLIVER,1993-07-11,Female,Athlete,MEX,['MPN'],['MPNWINDIVID']
1535366,SANSORES Carlos,Carlos SANSORES,1997-06-25,Male,Athlete,MEX,['TKW'],['TKWMO80KG']
1535367,SOUZA Daniela Paola,Daniela Paola SOUZA,1999-08-27,Female,Athlete,MEX,['TKW'],['TKWW49KG']
1535368,CLELAND QUINONEZ Alan,Alan CLELAND QUINONEZ,2002-06-19,Male,Athlete,MEX,['SRF'],['SRFMSHORTBRD']
1535373,GRIGORIAN Aram,Aram GRIGORIAN,1998-06-09,Male,Athlete,UAE,['JUD'],['JUDM90KG']
1535374,KOSTOEV Dzhafar,Dzhafar KOSTOEV,1999-04-28,Male,Athlete,UAE,['JUD'],['JUDM100KG']
1535375,MAGOMEDOMAROV Magomedomar,Magomedomar MAGOMEDOMAROV,2001-04-10,Male,Athlete,UAE,['JUD'],['JUDMO100KG']
1535376,TATALASHVILI Nugzari,Nugzari TATALASHVILI,1990-03-20,Male,Athlete,UAE,['JUD'],['JUDM81KG']
1535383,BISHRELT Khorloodoi,Khorloodoi BISHRELT,1998-05-29,Female,Athlete,UAE,['JUD'],['JUDW52KG']
1535385,HOUSSEIN Alexandre,Alexandre HOUSSEIN,1998-03-28,Male,Athlete,DJI,['JUD'],['JUDM73KG']
1535395,AL SAYEGH Safia,Safia AL SAYEGH,2001-09-23,Female,Athlete,UAE,['CRD'],['CRDWRR']
1535420,VALENCIA Alejandra,Alejandra VALENCIA,1994-10-17,Female,Athlete,MEX,['ARC'],"['ARCWINDIVID', 'ARCWTEAM3', 'ARCXTEAM2']"
1535429,RUIZ Angela,Angela RUIZ,2006-07-28,Female,Athlete,MEX,['ARC'],"['ARCWINDIVID', 'ARCWTEAM3']"
1535430,GRANDE Matias,Matias GRANDE,2004-04-26,Male,Athlete,MEX,['ARC'],"['ARCMINDIVID', 'ARCMTEAM3', 'ARCXTEAM2']"
1535433,PRIETO Marcela,Marcela PRIETO,1992-03-11,Female,Athlete,MEX,['CRD'],['CRDWRR']
1535438,RAMIREZ RAMOS Edson Ismael,Edson Ismael RAMIREZ RAMOS,2000-07-10,Male,Athlete,MEX,['SHO'],"['SHOMARM', 'SHOXARMT']"
1535439,RODRIGUEZ Gabriela,Gabriela RODRIGUEZ,1996-12-12,Female,Athlete,MEX,['SHO'],['SHOWSKW']
1535440,ZAVALA VAZQUEZ Alejandra,Alejandra ZAVALA VAZQUEZ,1984-06-16,Female,Athlete,MEX,['SHO'],"['SHOWAPW', 'SHOWSPW']"
1535441,QUEZADA MARQUEZ Carlos,Carlos QUEZADA MARQUEZ,1999-10-21,Male,Athlete,MEX,['SHO'],"['SHOMARM', 'SHOMR3PM']"
1535442,PENAFLOR MOYSEN Aram Michell,Aram Michell PENAFLOR MOYSEN,1999-03-11,Male,Athlete,MEX,['TRI'],['TRIMOLYMPIC']
1535444,REINOSO Sofia,Sofia REINOSO,1996-10-23,Female,Athlete,MEX,['CSL'],"['CSLWK1', 'CSLWX1']"
1535448,BRIONES FRAGOZA Beatriz,Beatriz BRIONES FRAGOZA,1999-02-10,Female,Athlete,MEX,['CSP'],"['CSPWK1-500M', 'CSPWK2-500M']"
1535449,ALANIS MORALES Karina,Karina ALANIS MORALES,1993-12-09,Female,Athlete,MEX,['CSP'],"['CSPWK1-500M', 'CSPWK2-500M']"
1535505,LINARES Natalia,Natalia LINARES,2003-01-03,Female,Athlete,COL,['ATH'],['ATHWLONGJUMP']
1535506,LONGA Ronal,Ronal LONGA,2004-06-30,Male,Athlete,COL,['ATH'],['ATHM100M']
1535511,RUIZ HURTADO Flor Denis,Flor Denis RUIZ HURTADO,1991-01-29,Female,Athlete,COL,['ATH'],['ATHWJAVELIN']
1535512,ORJUELA Angie,Angie ORJUELA,1989-05-09,Female,Athlete,COL,['ATH'],['ATHWMARATHON']
1535513,RENTERIA RENTERIA Tatiana,Tatiana RENTERIA RENTERIA,2000-12-22,Female,Athlete,COL,['WRE'],['WREWFS76KG']
1535514,VALDES PANA Angie Paola,Angie Paola VALDES PANA,2000-07-14,Female,Athlete,COL,['BOX'],['BOXW60KG']
1535522,ARBOLEDA MENDOZA Valeria,Valeria ARBOLEDA MENDOZA,2002-04-13,Female,Athlete,COL,['BOX'],['BOXW57KG']
1535524,BOLANOS LOPEZ Victor,Victor BOLANOS LOPEZ,1994-09-19,Male,Athlete,COL,['SAL'],['SALMFORMKITE']
1535609,ABDOLI Samyar,Samyar ABDOLI,2002-12-25,Male,Athlete,IRI,['SWM'],['SWMM100MFR']
1535660,SIMWAKA Asimenye,Asimenye SIMWAKA,1997-08-08,Female,Athlete,MAW,['ATH'],['ATHW100M']
1535693,AL MARZOOQI Omar Abdul Aziz,Omar Abdul Aziz AL MARZOOQI,2003-03-28,Male,Athlete,UAE,['EQU'],"['EQUOJUMPINDV', 'EQUOJUMPTEAM']"
1535729,SERRANO Franco,Franco SERRANO,2000-11-22,Male,Athlete,ARG,['MPN'],['MPNMINDIVID']
1535766,KUMEL SAADI,KUMEL SAADI,2004-08-19,Male,Athlete,IRQ,['FBL'],['FBLMTEAM11']
1535776,JOSEF AL IMAM,JOSEF AL IMAM,2004-07-27,Male,Athlete,IRQ,['FBL'],['FBLMTEAM11']
1535804,MUNTADHER ABDULAMEER,MUNTADHER ABDULAMEER,2001-10-06,Male,Athlete,IRQ,['FBL'],['FBLMTEAM11']
1535805,MUNTADHER MOHAMMED,MUNTADHER MOHAMMED,2001-06-05,Male,Athlete,IRQ,['FBL'],['FBLMTEAM11']
1535852,MAEDER Maximilian,Maximilian MAEDER,2006-09-12,Male,Athlete,SGP,['SAL'],['SALMFORMKITE']
1535853,LO Ryan,Ryan LO,1997-02-26,Male,Athlete,SGP,['SAL'],['SALMILCA7']
1535854,SIM En Yi Letitia,En Yi Letitia SIM,2003-03-03,Female,Athlete,SGP,['SWM'],"['SWMW100MBR', 'SWMW200MBR', 'SWMW4X100MMD']"
1535856,TAN Jonathan Eu Jin,Jonathan Eu Jin TAN,2002-03-11,Male,Athlete,SGP,['SWM'],"['SWMM100MFR', 'SWMM50MFR']"
1535858,PEREIRA Veronica Shanti,Veronica Shanti PEREIRA,1996-09-20,Female,Athlete,SGP,['ATH'],"['ATHW100M', 'ATHW200M']"
1535910,ZAID TAHSEEN,ZAID TAHSEEN,2001-01-29,Male,Athlete,IRQ,['FBL'],['FBLMTEAM11']
1535913,HUSSEIN AMER,HUSSEIN AMER,2002-04-28,Male,Athlete,IRQ,['FBL'],['FBLMTEAM11']
1535914,ANAK LISES Bertrand Rhodict,Bertrand Rhodict ANAK LISES,2005-05-28,Male,Athlete,MAS,['DIV'],['DIVM10M']
1535916,HUSSEIN LAWEND,HUSSEIN LAWEND,2001-01-20,Male,Athlete,IRQ,['FBL'],['FBLMTEAM11']
1535918,WONG Guanjie Johnathan,Guanjie Johnathan WONG,1992-08-23,Male,Athlete,MAS,['SHO'],['SHOMAPM']
1535925,MOHAMAD ZUBIR Nur Aisyah,Nur Aisyah MOHAMAD ZUBIR,1997-10-04,Female,Athlete,MAS,['CRD'],['CRDWRR']
1535926,MOHAMAD LATIF Nur Shazrin,Nur Shazrin MOHAMAD LATIF,1998-02-02,Female,Athlete,MAS,['SAL'],['SALWILCA6']
1535927,ALI JASIM,ALI JASIM,2004-01-20,Male,Athlete,IRQ,['FBL'],['FBLMTEAM11']
1535928,KARRAR SAAD,KARRAR SAAD,2001-03-22,Male,Athlete,IRQ,['FBL'],['FBLMTEAM11']
1535929,KARRAR MOHAMMED,KARRAR MOHAMMED,2001-01-06,Male,Athlete,IRQ,['FBL'],['FBLMTEAM11']
1535930,NIHAD MOHAMMED,NIHAD MOHAMMED,2001-01-14,Male,Athlete,IRQ,['FBL'],['FBLMTEAM11']
1535959,DOUA Camil,Camil DOUA,2002-02-23,Male,Athlete,MTN,['SWM'],['SWMM50MFR']
1535993,CHEW Caroline,Caroline CHEW,1992-04-18,Female,Athlete,SGP,['EQU'],['EQUODRESINDV']
1536032,HERNANDEZ FLORES Margarita,Margarita HERNANDEZ FLORES,1985-12-03,Female,Athlete,MEX,['ATH'],['ATHWMARATHON']
1536045,SALIMI Arian,Arian SALIMI,2003-12-16,Male,Athlete,IRI,['TKW'],['TKWMO80KG']
1536058,BARKHORDARI Mehran,Mehran BARKHORDARI,2000-07-26,Male,Athlete,IRI,['TKW'],['TKWM80KG']
1536064,NEMATZADEH Mobina,Mobina NEMATZADEH,2005-05-17,Female,Athlete,IRI,['TKW'],['TKWW49KG']
1536067,KIYANICHANDEH Nahid,Nahid KIYANICHANDEH,1998-08-01,Female,Athlete,IRI,['TKW'],['TKWW57KG']
1536157,MPALI Adam,Adam MPALI,2002-05-29,Male,Athlete,GAB,['SWM'],['SWMM50MFR']
1536175,AMISON Naima-Zahra,Naima-Zahra AMISON,2003-10-10,Female,Athlete,DJI,['SWM'],['SWMW50MFR']
1536184,STREHLKE DELGADO Paulo,Paulo STREHLKE DELGADO,2006-01-10,Male,Athlete,MEX,['OWS'],['OWSM10KM']
1536190,SANDOVAL AYALA Martha,Martha SANDOVAL AYALA,1998-08-14,Female,Athlete,MEX,['OWS'],['OWSW10KM']
1536196,ESTUDILLO TORRES Alejandra,Alejandra ESTUDILLO TORRES,2005-05-20,Female,Athlete,MEX,['DIV'],['DIVW3M']
1536197,CELAYA HERNANDEZ Juan Manuel,Juan Manuel CELAYA HERNANDEZ,1998-09-01,Male,Athlete,MEX,['DIV'],['DIVM3MTEAM2']
1536198,VAZQUEZ MONTANO Aranza,Aranza VAZQUEZ MONTANO,2002-08-21,Female,Athlete,MEX,['DIV'],['DIVW3M']
1536207,ALIPOUR SHENAZANDIFARD Reza,Reza ALI POUR,1994-04-29,Male,Athlete,IRI,['CLB'],['CLBMSPEED']
1536214,ALAMIAN Nima,Nima ALAMIAN,1992-12-24,Male,Athlete,IRI,['TTE'],['TTEMSINGLES']
1536215,ALAMIYAN Noshad,Noshad ALAMIYAN,1991-11-21,Male,Athlete,IRI,['TTE'],['TTEMSINGLES']
1536233,YASEEN Taha Hussein,Taha Hussein YASEEN,1998-01-01,Male,Athlete,IRQ,['ATH'],['ATHM100M']
1536251,MAAN Tulika,Tulika MAAN,1998-09-09,Female,Athlete,IND,['JUD'],['JUDWO78KG']
1536341,ANCER Abraham,Abraham ANCER,1991-02-27,Male,Athlete,MEX,['GLF'],['GLFMSTROKE']
1536368,SHARMA Shubhankar,Shubhankar SHARMA,1996-07-21,Male,Athlete,IND,['GLF'],['GLFMSTROKE']
1536371,BHULLAR Gaganjeet,Gaganjeet BHULLAR,1988-04-27,Male,Athlete,IND,['GLF'],['GLFMSTROKE']
1536372,GIRMA Ermias,Ermias GIRMA,2005-01-20,Male,Athlete,ETH,['ATH'],['ATHM1500M']
1536460,ROJAS Carlos,Carlos ROJAS,2000-01-14,Male,Athlete,MEX,['ARC'],"['ARCMINDIVID', 'ARCMTEAM3']"
1536467,MARTINEZ WING Bruno,Bruno MARTINEZ WING,1998-03-08,Male,Athlete,MEX,['ARC'],"['ARCMINDIVID', 'ARCMTEAM3']"
1536479,VAZQUEZ Ana,Ana VAZQUEZ,2000-10-05,Female,Athlete,MEX,['ARC'],"['ARCWINDIVID', 'ARCWTEAM3']"
1536494,RIVERA Edgar,Edgar RIVERA,1991-02-13,Male,Athlete,MEX,['ATH'],['ATHMHIGHJUMP']
1536495,TAMAYO-GARZA Cecilia,Cecilia TAMAYO-GARZA,1997-03-04,Female,Athlete,MEX,['ATH'],"['ATHW100M', 'ATHW200M']"
1536496,ALEMU Habitam,Habitam ALEMU,1997-07-09,Female,Athlete,ETH,['ATH'],['ATHW800M']
1536497,MESELE Worknesh,Worknesh MESELE,2001-06-11,Female,Athlete,ETH,['ATH'],['ATHW800M']
1536498,DUGUMA Tsige,Tsige DUGUMA,2001-02-23,Female,Athlete,ETH,['ATH'],['ATHW800M']
1536522,ASHOK Aditi,Aditi ASHOK,1998-03-29,Female,Athlete,IND,['GLF'],['GLFWSTROKE']
1536523,DAGAR Diksha,Diksha DAGAR,2000-12-14,Female,Athlete,IND,['GLF'],['GLFWSTROKE']
1536568,FAYISA Abdisa,Abdisa FAYISA,2005-04-24,Male,Athlete,ETH,['ATH'],['ATHM1500M']
1536585,GUERRERO Ilse,Ilse GUERRERO,1993-03-24,Female,Athlete,MEX,['ATH'],['ATHW20KMWALK']
1536599,CHAMA Noel,Noel CHAMA,1997-09-15,Male,Athlete,MEX,['ATH'],['ATHM20KMWALK']
1536600,ORTIZ Ricardo,Ricardo ORTIZ,1995-02-07,Male,Athlete,MEX,['ATH'],['ATHM20KMWALK']
1536624,SHAHSAVARI Neda,Neda SHAHSAVARI,1986-09-21,Female,Athlete,IRI,['TTE'],['TTEWSINGLES']
1536632,FALLAH Mobina,Mobina FALLAH,1999-08-13,Female,Athlete,IRI,['ARC'],['ARCWINDIVID']
1536648,LOH Kean Yew,Kean Yew LOH,1997-06-26,Male,Athlete,SGP,['BDM'],['BDMMSINGLES']
1536649,HEE Yong Kai Terry,Yong Kai Terry HEE,1995-07-06,Male,Athlete,SGP,['BDM'],['BDMXDOUBLES']
1536650,TAN Wei Han Jessica,Wei Han Jessica TAN,1993-07-16,Female,Athlete,SGP,['BDM'],['BDMXDOUBLES']
1536651,YEO Jia Min,Jia Min YEO,1999-02-01,Female,Athlete,SGP,['BDM'],['BDMWSINGLES']
1536669,LABIB Ali,Ali LABIB,2002-09-21,Male,Athlete,IRI,['CRD'],['CRDMRR']
1536683,FASIHI Farzaneh,Farzaneh FASIHI,1993-01-03,Female,Athlete,IRI,['ATH'],['ATHW100M']
1536701,TAFTIAN Hassan,Hassan TAFTIAN,1993-05-04,Male,Athlete,IRI,['ATH'],['ATHM100M']
1536721,PANWAR Balraj,Balraj PANWAR,1999-07-26,Male,Athlete,IND,['ROW'],['ROWMSCULL1']
1536885,RICKETTS Shanieka,Shanieka RICKETTS,1992-02-02,Female,Athlete,JAM,['ATH'],['ATHWTRPLJUMP']
1536925,HARRIS Naquille,Naquille HARRIS,2002-05-16,Male,Athlete,SKN,['ATH'],['ATHM100M']
1536961,DAVOUDI Ali,Ali DAVOUDI,1999-03-22,Male,Athlete,IRI,['WLF'],['WLFMO102KG']
1536971,JAVADI ALIABADI Mir Mostafa,Mir Mostafa JAVADI ALIABADI,2000-06-22,Male,Athlete,IRI,['WLF'],['WLFM89KG']
1536983,WELTEJI Diribe,Diribe WELTEJI,2002-05-13,Female,Athlete,ETH,['ATH'],['ATHW1500M']
1536990,HAYLOM Birke,Birke HAYLOM,2006-01-06,Female,Athlete,ETH,['ATH'],['ATHW1500M']
1536992,HAILU Freweyni,Freweyni HAILU,2001-02-12,Female,Alternate Athlete,ETH,['ATH'],['ATHW5000M']
1536996,AGHAMIRZAEIJENAGHARD Ali,Ali AGHAMIRZAEIJENAGHARD,1993-03-04,Male,Athlete,IRI,['CSP'],['CSPMK1-1000M']
1536997,MAYALA Freddy,Freddy MAYALA,2000-06-18,Male,Athlete,CGO,['SWM'],['SWMM50MFR']
1536998,AREGAWI Berihu,Berihu AREGAWI,2001-02-28,Male,Athlete,ETH,['ATH'],['ATHM10000M']
1536999,KEJELCHA Yomif,Yomif KEJELCHA,1997-08-01,Male,Athlete,ETH,['ATH'],['ATHM10000M']
1537001,GEBRHIWET Hagos,Hagos GEBRHIWET,1994-05-11,Male,Athlete,ETH,['ATH'],['ATHM5000M']
1537002,BOBIMBO Vanessa,Vanessa BOBIMBO,1999-12-08,Female,Athlete,CGO,['SWM'],['SWMW50MFR']
1537010,NGOYE Natacha,Natacha NGOYE,1993-08-15,Female,Athlete,CGO,['ATH'],['ATHW100M']
1537012,SAIKHOM Mirabai Chanu,Mirabai Chanu SAIKHOM,1994-08-08,Female,Athlete,IND,['WLF'],['WLFW49KG']
1537049,BAREGA Selemon,Selemon BAREGA,2000-01-20,Male,Athlete,ETH,['ATH'],['ATHM10000M']
1537052,TEFERA Samuel,Samuel TEFERA,1999-10-23,Male,Athlete,ETH,['ATH'],['ATHM1500M']
1537053,YIHUNE Addisu,Addisu YIHUNE,2003-03-17,Male,Athlete,ETH,['ATH'],['ATHM5000M']
1537057,MEHARY Biniam,Biniam MEHARY,2006-12-20,Male,Athlete,ETH,['ATH'],['ATHM5000M']
1537066,TAYE Ejgayehu,Ejgayehu TAYE,2000-02-10,Female,Athlete,ETH,['ATH'],['ATHW5000M']
1537069,EISA Medina,Medina EISA,2005-01-03,Female,Athlete,ETH,['ATH'],['ATHW5000M']
1537079,GEBRESELAMA Tsigie,Tsigie GEBRESELAMA,2000-09-30,Female,Athlete,ETH,['ATH'],['ATHW10000M']
1537135,ZENG Jian,ZENG Jian,1996-11-19,Female,Athlete,SGP,['TTE'],['TTEWSINGLES']
1537137,QUEK Izaac,QUEK Izaac,2006-05-26,Male,Athlete,SGP,['TTE'],['TTEMSINGLES']
1537144,VEGA Jerome,Jerome VEGA,1995-04-07,Male,Athlete,PUR,['ATH'],['ATHMHAMMER']
1537145,OWENS-DELERME Ayden,Ayden OWENS-DELERME,2000-05-28,Male,Athlete,PUR,['ATH'],['ATHMDECATH']
1537149,de ORBETA Rachelle,Rachelle de ORBETA,2000-03-27,Female,Athlete,PUR,['ATH'],['ATHW20KMWALK']
1537150,SCOTT Gabby,Gabby SCOTT,1997-01-13,Female,Athlete,PUR,['ATH'],['ATHW400M']
1537163,D'AMOUR Nicholas,Nicholas D'AMOUR,2001-09-04,Male,Athlete,ISV,['ARC'],['ARCMINDIVID']
1537168,CASTRO RIVERA Luis,Luis CASTRO RIVERA,1991-01-29,Male,Athlete,PUR,['ATH'],['ATHMHIGHJUMP']
1537180,CEBALLOS Macarena,Macarena CEBALLOS,1995-01-12,Female,Athlete,ARG,['SWM'],"['SWMW100MBR', 'SWMW200MBR']"
1537183,CAMACHO-QUINN Jasmine,Jasmine CAMACHO-QUINN,1996-08-21,Female,Athlete,PUR,['ATH'],['ATHW100MHURD']
